"concept_id","concept_name","description","from","to"
"1","Pacific Rim at Gresham","Made-to-order stir-fry","10:00:00","20:00:00"
"2","Pacific Rim at Wright","Stir fry, sushi, and sides","11:00:00","21:00:00"
"3","Mesa Mexicano at Wright","Mexican and Southwestern food","10:00:00","20:00:00"
"4","Hoosier Cafe and Store at Wright","Cafe and Convenience store with a made-to-order deli, household essentials, and groceries","15:00:00","21:00:00"
"5","Erbert and Gerbert's at Wright","Sandwich shop","18:00:00","21:00:00"
"6","Deli at Collins","Made-to-order paninis, Hubbard & Cravens coffee, and grab & go items","08:00:00","21:00:00"
"7","Crimson Cafe at El Bistro","Classic cafe food and Hubbard & Cravens coffee and espresso","08:00:00","21:00:00"
"8","Charley Bigg's at Wright","Chicken and classic sides","10:00:00","20:00:00"
"9","Flame Burgers & Grill at Wright","Delicious char-grilled burgers, sandwiches, and sides.","16:00:00","21:00:00"
"10","Salad Bar at Wright","Build-your-own salad bar","10:00:00","20:00:00"